codigoMesa;idUbigeo;dep;gap_t_c_s;jpp_votos;rla_votos;total_valid;jpp_pct;ganador
018085;71205;07;1772.0;74;44;170;43.529;JUNTOS POR EL PERÚ
079042;210706;21;1772.0;67;12;126;53.175;JUNTOS POR EL PERÚ
003519;21309;02;1771.0;14;20;183;7.65;FUERZA POPULAR
020576;90404;09;1771.0;51;24;117;43.59;JUNTOS POR EL PERÚ
030563;120302;12;1771.0;61;3;95;64.211;JUNTOS POR EL PERÚ
017958;71105;07;1770.0;77;19;167;46.108;JUNTOS POR EL PERÚ
020444;90312;09;1770.0;29;9;55;52.727;JUNTOS POR EL PERÚ
077843;210401;21;1769.0;17;16;142;11.972;VOTOS EN BLANCO
010231;50208;05;1767.0;34;14;74;45.946;JUNTOS POR EL PERÚ
045644;140116;14;1767.0;23;45;212;10.849;PARTIDO CÍVICO OBRAS
067000;150502;15;1767.0;18;4;74;24.324;VOTOS EN BLANCO
072102;190403;19;1766.0;32;8;124;25.806;VOTOS EN BLANCO
004434;30208;03;1765.0;85;16;135;62.963;JUNTOS POR EL PERÚ
010605;50406;05;1765.0;91;14;167;54.491;JUNTOS POR EL PERÚ
031256;120603;12;1765.0;31;7;105;29.524;VOTOS EN BLANCO
067312;150704;15;1765.0;29;3;125;23.2;FUERZA POPULAR
086279;921303;92;1765.0;2;6;127;1.575;RENOVACIÓN POPULAR
017327;70902;07;1764.0;44;23;130;33.846;JUNTOS POR EL PERÚ
031532;120707;12;1764.0;44;13;95;46.316;JUNTOS POR EL PERÚ
019880;90108;09;1763.0;57;24;160;35.625;JUNTOS POR EL PERÚ
079010;210704;21;1763.0;32;4;68;47.059;JUNTOS POR EL PERÚ
009015;40407;04;1762.0;44;17;179;24.581;JUNTOS POR EL PERÚ
027261;110806;11;1762.0;39;18;139;28.058;JUNTOS POR EL PERÚ
030633;120305;12;1762.0;52;8;123;42.276;JUNTOS POR EL PERÚ
087399;940905;94;1762.0;3;14;90;3.333;RENOVACIÓN POPULAR
019321;80602;08;1761.0;24;28;151;15.894;FUERZA POPULAR
087862;941706;94;1761.0;5;40;213;2.347;VOTOS EN BLANCO
086743;921331;92;1760.0;0;2;73;0.0;RENOVACIÓN POPULAR
088044;950102;95;1760.0;0;5;119;0.0;RENOVACIÓN POPULAR
001790;20505;02;1759.0;19;24;162;11.728;VOTOS EN BLANCO
017893;71101;07;1759.0;57;44;165;34.545;JUNTOS POR EL PERÚ
065707;150111;15;1758.0;6;2;148;4.054;FUERZA POPULAR
085457;250302;25;1758.0;11;0;61;18.033;VOTOS EN BLANCO
086756;921331;92;1758.0;3;2;95;3.158;RENOVACIÓN POPULAR
001671;20501;02;1757.0;8;16;183;4.372;FUERZA POPULAR
002255;20905;02;1757.0;30;9;91;32.967;JUNTOS POR EL PERÚ
017563;70909;07;1757.0;60;49;176;34.091;JUNTOS POR EL PERÚ
075716;200701;20;1757.0;43;46;213;20.188;PARTIDO CÍVICO OBRAS
014191;61006;06;1756.0;63;5;125;50.4;JUNTOS POR EL PERÚ
076772;201001;20;1755.0;41;40;164;25.0;JUNTOS POR EL PERÚ
007627;40125;04;1754.0;51;26;220;23.182;JUNTOS POR EL PERÚ
068178;170211;17;1754.0;34;26;166;20.482;JUNTOS POR EL PERÚ
